index,name,schoolName,building,address,currentLat,currentLon,candidateLat,candidateLon,distance,osmName,osmType,displayName
"66","신창동제5투","신창중학교","신창중학교(1층, 중앙현관)","광주광역시 광산구 왕버들로290번길 40 (신창동)","35.1938601","126.8390228","35.1938342","126.8391544","12","신창중학교","school","신창중학교, 40, 왕버들로290번길, 용수마을, 신창동, 광산구, 광주광역시, 62252, 대한민국"
"31","월곡2동제3투","하남중학교","하남중학교(후관동 1층, 회의실)","광주광역시 광산구 산정로6번길 21-2 (월곡동)","35.167285","126.8052879","35.1673671","126.8052301","11","하남중학교","school","하남중학교, 21-2, 산정로6번길, 월곡2동, 광산구, 광주광역시, 62344, 대한민국"
"63","신창동제2투","신가중학교","신가중학교(1층, 체육실)","광주광역시 광산구 신창로 26 (신창동)","35.1876841","126.8378471","35.1877436","126.8377538","11","신가중학교","school","신가중학교, 26, 신창로, 신가동, 광산구, 광주광역시, 62295, 대한민국"
"52","신가동제2투","풍영초등학교","풍영초등학교(1층, 로비)","광주광역시 광산구 수등로258번길 53 (신가동)","35.18321","126.8404629","35.183184","126.8403816","8","풍영초등학교","school","풍영초등학교, 수등로258번길, 신가동, 광산구, 광주광역시, 62301, 대한민국"
"78","수완동제10투","성덕중학교","성덕중학교(1층, 현관)","광주광역시 광산구 장덕로 65 (장덕동)","35.1956196","126.8164213","35.1956355","126.8163322","8","성덕중학교","school","성덕중학교, 65, 장덕로, 장덕동, 수완동, 광산구, 광주광역시, 62222, 대한민국"
"80","수완동제12투","은빛초등학교","은빛초등학교(1층, 돌봄교실2반)","광주광역시 광산구 수완로33번길 11 (수완동)","35.1878559","126.827965","35.1878962","126.8278971","8","은빛초등학교","school","은빛초등학교, 11, 수완로33번길, 수완동, 광산구, 광주광역시, 62308, 대한민국"
"85","하남동제4투","산정중학교","산정중학교(1층, 르네산정)","광주광역시 광산구 목련로22번길 31 (산정동)","35.1711563","126.8008616","35.1710941","126.8008146","8","산정중학교","school","산정중학교, 용아로297번길, 산정동, 하남동, 광산구, 광주광역시, 62343, 대한민국"
"44","첨단2동제4투","월계초등학교","월계초등학교(1층, 급식실)","광주광역시 광산구 첨단내촌로 83 (월계동 763-4)","35.2135259","126.8350379","35.2135121","126.8351111","7","월계초등학교","school","월계초등학교, 월계로, 월계동, 첨단2동, 광산구, 광주광역시, 62258, 대한민국"
"49","첨단2동제9투","봉산초등학교","봉산초등학교(1층, 중앙현관)","광주광역시 광산구 산월로 57 (산월동885-5)","35.2094589","126.843629","35.2094314","126.8437006","7","봉산초등학교","school","봉산초등학교, 산월로, 산월동, 첨단2동, 광산구, 광주광역시, 62272, 대한민국"
"38","첨단1동제3투","월계중학교","월계중학교(1층, 현관)","광주광역시 광산구 첨단중앙로181번길 82 (월계동)","35.2193597","126.832678","35.21933","126.8326751","3","월계중학교","school","월계중학교, 첨단중앙로181번길, 동원촌, 첨단1동, 광산구, 광주광역시, 62258, 대한민국"
"93","삼도동제2투","새날학교","새날학교 1층 강당","광주광역시 광산구 평동로 29 (삼도동)","35.1291397","126.6827661","","","","","","NO_MATCH"
